565000.0,C. Ronaldo dos Santos Aveiro
565000.0,Lionel Messi
280000.0,Neymar da Silva Santos Jr.
510000.0,Luis Suárez
230000.0,Manuel Neuer
355000.0,Robert Lewandowski
215000.0,David De Gea Quintana
295000.0,Eden Hazard
340000.0,Toni Kroos
275000.0,Gonzalo Higuaín
310000.0,Sergio Ramos García
285000.0,Kevin De Bruyne
190000.0,Thibaut Courtois
265000.0,Alexis Sánchez
340000.0,Luka Modrić
370000.0,Gareth Bale
325000.0,Sergio Agüero
225000.0,Giorgio Chiellini
110000.0,Gianluigi Buffon
215000.0,Paulo Dybala
82000.0,Jan Oblak
150000.0,Antoine Griezmann
225000.0,Thiago Alcântara
165000.0,Pierre-Emerick Aubameyang
210000.0,Leonardo Bonucci
215000.0,Jérôme Boateng
125000.0,Diego Godín
215000.0,Mats Hummels
265000.0,Mesut Özil
165000.0,Hugo Lloris
175000.0,Thiago Emiliano da Silva
240000.0,Zlatan Ibrahimović
225000.0,Arjen Robben
190000.0,N'Golo Kanté
130000.0,Marco Verratti
195000.0,Paul Pogba
165000.0,Christian Eriksen
160000.0,Arturo Vidal
160000.0,Edinson Cavani
250000.0,Marcelo Vieira da Silva
130000.0,Marek Hamšík
275000.0,Ivan Rakitić
220000.0,David Josué Jiménez Silva
91000.0,Samir Handanovič
240000.0,Gerard Piqué Bernabeu
260000.0,Andrés Iniesta Luján
165000.0,Harry Kane
250000.0,James Rodríguez
250000.0,Francisco Román Alarcón Suárez
150000.0,David Alaba
210000.0,Romelu Lukaku
175000.0,Alex Sandro Lobo Silva
190000.0,Thomas Müller
250000.0,Sergio Busquets Burgos
205000.0,Philippe Coutinho Correia
120000.0,Marco Reus
165000.0,Toby Alderweireld
190000.0,David Luiz Moreira Marinho
235000.0,Diego da Silva Costa
130000.0,Radja Nainggolan
165000.0,Javier Martínez Aginaga
135000.0,Dries Mertens
110000.0,Sokratis Papastathopoulos
115000.0,João Miranda de Souza Filho
295000.0,Karim Benzema
210000.0,Francesc Fàbregas i Soler
175000.0,Franck Ribéry
94000.0,Képler Laveran Lima Ferreira
92000.0,Petr Čech
77000.0,Yannick Carrasco
175000.0,Raphaël Varane
170000.0,Álvaro Borja Morata Martín
195000.0,Carlos Henrique Venancio Casimiro
115000.0,Lorenzo Insigne
84000.0,Jorge Resurrección
180000.0,Alexandre Lacazette
165000.0,Keylor Navas
195000.0,Henrikh Mkhitaryan
46000.0,Danijel Subašić
61000.0,Bernd Leno
155000.0,Marc-André ter Stegen
60000.0,Kamil Glik
215000.0,Jordi Alba Ramos
190000.0,İlkay Gündoğan
160000.0,César Azpilicueta Tanco
